[' New Orleans Pelicans', ' Memphis Grizzlies', 'TAB', 'LadBrokes', 1.35, 3.35, 74.07, 29.85, 103.92, 'NO', 0, '08:06']
[' Milwaukee Bucks', ' San Antonio Spurs', 'TAB', 'LadBrokes', 1.06, 10.0, 94.34, 10.0, 104.34, 'NO', 0, '08:06']
[' Golden State Warriors', ' Boston Celtics', 'LadBrokes', 'LadBrokes', 2.9, 1.42, 34.48, 70.42, 104.91, 'NO', 0, '08:06']
[' Portland Trail Blazers', ' Phoenix Suns', 'LadBrokes', 'TAB', 3.35, 1.34, 29.85, 74.63, 104.48, 'NO', 0, '08:06']
[' Valparaiso', ' Samford', 'TAB', 'LadBrokes', 4.25, 1.24, 23.53, 80.65, 104.17, 'NO', 0, '08:06']
[' Peristeri BC', ' Unicaja Baloncesto', 'TAB', 'TAB', 2.2, 1.57, 45.45, 63.69, 109.15, 'NO', 0, '08:35']
[' New Orleans Pelicans', ' Memphis Grizzlies', 'TAB', 'LadBrokes', 1.34, 3.35, 74.63, 29.85, 104.48, 'NO', 0, '08:35']
[' Milwaukee Bucks', ' San Antonio Spurs', 'TAB', 'LadBrokes', 1.06, 10.0, 94.34, 10.0, 104.34, 'NO', 0, '08:35']
[' Golden State Warriors', ' Boston Celtics', 'TAB', 'LadBrokes', 2.9, 1.42, 34.48, 70.42, 104.91, 'NO', 0, '08:35']
[' Portland Trail Blazers', ' Phoenix Suns', 'LadBrokes', 'TAB', 3.35, 1.33, 29.85, 75.19, 105.04, 'NO', 0, '08:35']
[' Valparaiso', ' Samford', 'TAB', 'LadBrokes', 6.0, 1.24, 16.67, 80.65, 97.31, 'YES', 2.69, '08:35']
[' New Orleans Pelicans', ' Memphis Grizzlies', 'TAB', 'LadBrokes', 1.34, 3.35, 74.63, 29.85, 104.48, 'NO', 0, '09:10']
[' Milwaukee Bucks', ' San Antonio Spurs', 'TAB', 'LadBrokes', 1.06, 10.0, 94.34, 10.0, 104.34, 'NO', 0, '09:10']
[' Golden State Warriors', ' Boston Celtics', 'TAB', 'LadBrokes', 2.9, 1.42, 34.48, 70.42, 104.91, 'NO', 0, '09:10']
[' Portland Trail Blazers', ' Phoenix Suns', 'LadBrokes', 'TAB', 3.35, 1.33, 29.85, 75.19, 105.04, 'NO', 0, '09:10']
[' New Orleans Pelicans', ' Memphis Grizzlies', 'TAB', 'LadBrokes', 1.34, 3.35, 74.63, 29.85, 104.48, 'NO', 0, '11:45']
[' Milwaukee Bucks', ' San Antonio Spurs', 'TAB', 'LadBrokes', 1.06, 10.0, 94.34, 10.0, 104.34, 'NO', 0, '11:45']
[' Golden State Warriors', ' Boston Celtics', 'TAB', 'LadBrokes', 2.9, 1.42, 34.48, 70.42, 104.91, 'NO', 0, '11:45']
[' Portland Trail Blazers', ' Phoenix Suns', 'LadBrokes', 'TAB', 3.35, 1.33, 29.85, 75.19, 105.04, 'NO', 0, '11:45']
[' New Orleans Pelicans', ' Memphis Grizzlies', 'TAB', 'LadBrokes', 1.34, 3.35, 74.63, 29.85, 104.48, 'NO', 0, '11:47']
[' Milwaukee Bucks', ' San Antonio Spurs', 'TAB', 'LadBrokes', 1.06, 10.0, 94.34, 10.0, 104.34, 'NO', 0, '11:47']
[' Golden State Warriors', ' Boston Celtics', 'TAB', 'LadBrokes', 2.9, 2.0, 34.48, 50.0, 84.48, 'YES', 15.52, '11:47']
[' Portland Trail Blazers', ' Phoenix Suns', 'LadBrokes', 'TAB', 3.35, 1.33, 29.85, 75.19, 105.04, 'NO', 0, '11:47']
[' New Orleans Pelicans', ' Memphis Grizzlies', 'TAB', 'LadBrokes', 1.34, 3.35, 74.63, 29.85, 104.48, 'NO', 0, '11:48']
[' Milwaukee Bucks', ' San Antonio Spurs', 'TAB', 'LadBrokes', 1.06, 10.0, 94.34, 10.0, 104.34, 'NO', 0, '11:48']
[' Golden State Warriors', ' Boston Celtics', 'TAB', 'LadBrokes', 2.9, 2.0, 34.48, 50.0, 84.48, 'YES', 15.52, '11:48']
[' Portland Trail Blazers', ' Phoenix Suns', 'LadBrokes', 'TAB', 3.35, 1.33, 29.85, 75.19, 105.04, 'NO', 0, '11:48']
[' New Orleans Pelicans', ' Memphis Grizzlies', 'TAB', 'LadBrokes', 1.34, 3.35, 74.63, 29.85, 104.48, 'NO', 0, '11:49']
[' Milwaukee Bucks', ' San Antonio Spurs', 'TAB', 'LadBrokes', 1.06, 10.0, 94.34, 10.0, 104.34, 'NO', 0, '11:49']
[' Golden State Warriors', ' Boston Celtics', 'TAB', 'LadBrokes', 2.9, 2.0, 34.48, 50.0, 84.48, 'YES', 15.52, '11:49']
[' Portland Trail Blazers', ' Phoenix Suns', 'LadBrokes', 'TAB', 3.35, 1.33, 29.85, 75.19, 105.04, 'NO', 0, '11:49']
